enrollment_id,provider_id,payer_id,enrollment_type,credentialing_status,claims_enrollment_status,era_enrollment_status,clearinghouse_portal_updated,clearinghouse_configuration_status,credentialed_npi,enrolled_npi,npi_match_status,blocker_reason,submitted_date,approved_date,current_status,action_required_flag,claims_ready_flag,era_ready_flag
ENR003002,PRV003,PYR002,ERA,Completed,"Not Required",Approved,No,Pending,2000000003,2000000003,"NPI Match","Clearinghouse portal not updated",2026-02-13,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR003003,PRV003,PYR003,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000003,2000000003,"NPI Match","Missing payer approval",2026-02-24,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR003004,PRV003,PYR004,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000003,2000000003,"NPI Match","No blocker",2026-03-07,2026-03-22,Ready,No,Ready,Ready
ENR003005,PRV003,PYR005,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000003,2000000003,"NPI Match","No blocker",2026-03-18,2026-04-03,Ready,No,Ready,Ready
ENR003006,PRV003,PYR006,Claims,Completed,Approved,"Not Required",Yes,Completed,2000000003,2000000003,"NPI Match","No blocker",2026-03-29,2026-04-15,Ready,No,Ready,"Not Applicable"
ENR003007,PRV003,PYR007,ERA,Completed,"Not Required",Approved,No,Pending,2000000003,2000000003,"NPI Match","Clearinghouse portal not updated",2026-04-09,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR003008,PRV003,PYR008,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000003,1000000003,"NPI Mismatch","Individual NPI used instead of group NPI",2026-04-20,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR003009,PRV003,PYR009,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000003,2000000003,"NPI Match","Missing payer approval",2026-05-01,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR003010,PRV003,PYR010,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000003,2000000003,"NPI Match","No blocker",2026-05-12,2026-05-23,Ready,No,Ready,Ready
ENR004001,PRV004,PYR001,ERA,Completed,"Not Required",Approved,No,Pending,2000000004,2000000004,"NPI Match","Clearinghouse portal not updated",2026-02-09,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR004002,PRV004,PYR002,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000004,2000000004,"NPI Match","Missing payer approval",2026-02-20,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR004003,PRV004,PYR003,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000004,2000000004,"NPI Match","No blocker",2026-03-03,2026-03-18,Ready,No,Ready,Ready
ENR004004,PRV004,PYR004,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000004,2000000004,"NPI Match","No blocker",2026-03-14,2026-03-30,Ready,No,Ready,Ready
ENR004005,PRV004,PYR005,Claims,Completed,Approved,"Not Required",Yes,Completed,2000000004,2000000004,"NPI Match","No blocker",2026-03-25,2026-04-11,Ready,No,Ready,"Not Applicable"
ENR004006,PRV004,PYR006,ERA,Completed,"Not Required",Approved,No,Pending,2000000004,2000000004,"NPI Match","Clearinghouse portal not updated",2026-04-05,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR004007,PRV004,PYR007,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000004,1000000004,"NPI Mismatch","Individual NPI used instead of group NPI",2026-04-16,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR004008,PRV004,PYR008,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000004,2000000004,"NPI Match","Missing payer approval",2026-04-27,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR004009,PRV004,PYR009,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000004,2000000004,"NPI Match","No blocker",2026-05-08,2026-05-19,Ready,No,Ready,Ready
ENR004010,PRV004,PYR010,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000004,2000000004,"NPI Match","No blocker",2026-05-19,2026-05-31,Ready,No,Ready,Ready
ENR005001,PRV005,PYR001,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000005,2000000005,"NPI Match","Missing payer approval",2026-02-16,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR005002,PRV005,PYR002,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000005,2000000005,"NPI Match","No blocker",2026-02-27,2026-03-14,Ready,No,Ready,Ready
ENR005003,PRV005,PYR003,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000005,2000000005,"NPI Match","No blocker",2026-03-10,2026-03-26,Ready,No,Ready,Ready
ENR005004,PRV005,PYR004,Claims,Completed,Approved,"Not Required",Yes,Completed,2000000005,2000000005,"NPI Match","No blocker",2026-03-21,2026-04-07,Ready,No,Ready,"Not Applicable"
ENR005005,PRV005,PYR005,ERA,Completed,"Not Required",Approved,No,Pending,2000000005,2000000005,"NPI Match","Clearinghouse portal not updated",2026-04-01,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR005006,PRV005,PYR006,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000005,1000000005,"NPI Mismatch","Individual NPI used instead of group NPI",2026-04-12,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR005007,PRV005,PYR007,Claims,Completed,Rejected,"Not Required",Yes,"Issue Found",2000000005,2000000005,"NPI Match","Wrong payer ID",2026-04-23,NULL,Blocked,Yes,"Not Ready","Not Applicable"
ENR005008,PRV005,PYR008,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000005,2000000005,"NPI Match","No blocker",2026-05-04,2026-05-15,Ready,No,Ready,Ready
ENR005009,PRV005,PYR009,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000005,2000000005,"NPI Match","No blocker",2026-05-15,2026-05-27,Ready,No,Ready,Ready
ENR005010,PRV005,PYR010,ERA,Completed,"Not Required",Approved,No,Pending,2000000005,2000000005,"NPI Match","Clearinghouse portal not updated",2026-05-26,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR006001,PRV006,PYR001,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000006,2000000006,"NPI Match","No blocker",2026-02-23,2026-03-10,Ready,No,Ready,Ready
ENR006002,PRV006,PYR002,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000006,2000000006,"NPI Match","No blocker",2026-03-06,2026-03-22,Ready,No,Ready,Ready
ENR006003,PRV006,PYR003,Claims,Completed,Approved,"Not Required",Yes,Completed,2000000006,2000000006,"NPI Match","No blocker",2026-03-17,2026-04-03,Ready,No,Ready,"Not Applicable"
ENR006004,PRV006,PYR004,ERA,Completed,"Not Required",Approved,No,Pending,2000000006,2000000006,"NPI Match","Clearinghouse portal not updated",2026-03-28,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR006005,PRV006,PYR005,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000006,1000000006,"NPI Mismatch","Individual NPI used instead of group NPI",2026-04-08,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR006006,PRV006,PYR006,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000006,2000000006,"NPI Match","Missing payer approval",2026-04-19,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR006007,PRV006,PYR007,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000006,2000000006,"NPI Match","Wrong payer ID",2026-04-30,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR006008,PRV006,PYR008,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000006,2000000006,"NPI Match","No blocker",2026-05-11,2026-05-23,Ready,No,Ready,Ready
ENR006009,PRV006,PYR009,ERA,Completed,"Not Required",Approved,No,Pending,2000000006,2000000006,"NPI Match","Clearinghouse portal not updated",2026-05-22,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR006010,PRV006,PYR010,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000006,2000000006,"NPI Match","No blocker",2026-01-03,2026-01-17,Ready,No,Ready,Ready
ENR007001,PRV007,PYR001,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000007,2000000007,"NPI Match","Medicare additional enrollment missing",2026-03-02,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR007002,PRV007,PYR002,Claims,Completed,Rejected,"Not Required",Yes,"Issue Found",2000000007,2000000007,"NPI Match","Incorrect PTAN/provider number",2026-03-13,NULL,Blocked,Yes,"Not Ready","Not Applicable"
ENR007003,PRV007,PYR003,ERA,Completed,"Not Required",Approved,No,Pending,2000000007,2000000007,"NPI Match","Clearinghouse portal not updated",2026-03-24,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR007004,PRV007,PYR004,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000007,1000000007,"NPI Mismatch","Individual NPI used instead of group NPI",2026-04-04,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR007005,PRV007,PYR005,Claims,Completed,Rejected,"Not Required",Yes,"Issue Found",2000000007,2000000007,"NPI Match","Wrong payer ID",2026-04-15,NULL,Blocked,Yes,"Not Ready","Not Applicable"
ENR007006,PRV007,PYR006,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000007,2000000007,"NPI Match","Wrong payer ID",2026-04-26,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR007007,PRV007,PYR007,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000007,2000000007,"NPI Match","Wrong payer ID",2026-05-07,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR007008,PRV007,PYR008,ERA,Completed,"Not Required",Approved,No,Pending,2000000007,2000000007,"NPI Match","Clearinghouse portal not updated",2026-05-18,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR007009,PRV007,PYR009,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000007,2000000007,"NPI Match","Wrong payer ID",2026-05-29,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR007010,PRV007,PYR010,"Claims and ERA","In Progress","Not Started","Not Started",No,"Not Started",2000000007,2000000007,"NPI Match","Credentialing not completed",2026-01-10,NULL,Pending,Yes,"Not Ready","Not Ready"
ENR008001,PRV008,PYR001,Claims,Completed,Rejected,"Not Required",Yes,"Issue Found",2000000008,2000000008,"NPI Match","Incorrect PTAN/provider number",2026-03-09,NULL,Blocked,Yes,"Not Ready","Not Applicable"
ENR008002,PRV008,PYR002,ERA,Completed,"Not Required",Rejected,Yes,"Issue Found",2000000008,2000000008,"NPI Match","Medicaid additional enrollment missing",2026-03-20,NULL,Blocked,Yes,"Not Applicable","Not Ready"
ENR008003,PRV008,PYR003,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000008,1000000008,"NPI Mismatch","Individual NPI used instead of group NPI",2026-03-31,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR008004,PRV008,PYR004,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000008,2000000008,"NPI Match","Missing payer approval",2026-04-11,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR008005,PRV008,PYR005,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000008,2000000008,"NPI Match","No blocker",2026-04-22,2026-05-03,Ready,No,Ready,Ready
ENR008006,PRV008,PYR006,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000008,2000000008,"NPI Match","No blocker",2026-05-03,2026-05-15,Ready,No,Ready,Ready
ENR008007,PRV008,PYR007,ERA,Completed,"Not Required",Approved,No,Pending,2000000008,2000000008,"NPI Match","Clearinghouse portal not updated",2026-05-14,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR008008,PRV008,PYR008,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000008,2000000008,"NPI Match","Medicaid additional enrollment missing",2026-05-25,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR008009,PRV008,PYR009,"Claims and ERA","In Progress","Not Started","Not Started",No,"Not Started",2000000008,2000000008,"NPI Match","Credentialing not completed",2026-01-06,NULL,Pending,Yes,"Not Ready","Not Ready"
ENR008010,PRV008,PYR010,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000008,2000000008,"NPI Match","Missing payer approval",2026-01-17,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR009001,PRV009,PYR001,ERA,Completed,"Not Required",Approved,No,Pending,2000000009,2000000009,"NPI Match","Clearinghouse portal not updated",2026-03-16,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR009002,PRV009,PYR002,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000009,1000000009,"NPI Mismatch","Individual NPI used instead of group NPI",2026-03-27,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR009003,PRV009,PYR003,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000009,2000000009,"NPI Match","Missing payer approval",2026-04-07,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR009004,PRV009,PYR004,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000009,2000000009,"NPI Match","No blocker",2026-04-18,2026-04-29,Ready,No,Ready,Ready
ENR009005,PRV009,PYR005,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000009,2000000009,"NPI Match","No blocker",2026-04-29,2026-05-11,Ready,No,Ready,Ready
ENR009006,PRV009,PYR006,ERA,Completed,"Not Required",Approved,No,Pending,2000000009,2000000009,"NPI Match","Clearinghouse portal not updated",2026-05-10,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR009007,PRV009,PYR007,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000009,2000000009,"NPI Match","Wrong payer ID",2026-05-21,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR009008,PRV009,PYR008,"Claims and ERA","In Progress","Not Started","Not Started",No,"Not Started",2000000009,2000000009,"NPI Match","Credentialing not completed",2026-01-02,NULL,Pending,Yes,"Not Ready","Not Ready"
ENR009009,PRV009,PYR009,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000009,2000000009,"NPI Match","Missing payer approval",2026-01-13,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR009010,PRV009,PYR010,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000009,2000000009,"NPI Match","No blocker",2026-01-24,2026-02-10,Ready,No,Ready,Ready
ENR010001,PRV010,PYR001,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000010,1000000010,"NPI Mismatch","Individual NPI used instead of group NPI",2026-03-23,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR010002,PRV010,PYR002,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000010,2000000010,"NPI Match","Missing payer approval",2026-04-03,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR010003,PRV010,PYR003,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000010,2000000010,"NPI Match","No blocker",2026-04-14,2026-04-25,Ready,No,Ready,Ready
ENR010004,PRV010,PYR004,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000010,2000000010,"NPI Match","No blocker",2026-04-25,2026-05-07,Ready,No,Ready,Ready
ENR010005,PRV010,PYR005,ERA,Completed,"Not Required",Approved,No,Pending,2000000010,2000000010,"NPI Match","Clearinghouse portal not updated",2026-05-06,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR010006,PRV010,PYR006,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000010,2000000010,"NPI Match","No blocker",2026-05-17,2026-05-31,Ready,No,Ready,Ready
ENR010007,PRV010,PYR007,"Claims and ERA","In Progress","Not Started","Not Started",No,"Not Started",2000000010,2000000010,"NPI Match","Credentialing not completed",2026-05-28,NULL,Pending,Yes,"Not Ready","Not Ready"
ENR010008,PRV010,PYR008,Claims,Completed,Rejected,"Not Required",Yes,"Issue Found",2000000010,2000000010,"NPI Match","Incorrect PTAN/provider number",2026-01-09,NULL,Blocked,Yes,"Not Ready","Not Applicable"
ENR010009,PRV010,PYR009,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000010,2000000010,"NPI Match","No blocker",2026-01-20,2026-02-06,Ready,No,Ready,Ready
ENR010010,PRV010,PYR010,ERA,Completed,"Not Required",Approved,No,Pending,2000000010,2000000010,"NPI Match","Clearinghouse portal not updated",2026-01-31,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR011001,PRV011,PYR001,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000011,2000000011,"NPI Match","Missing payer approval",2026-03-30,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR011002,PRV011,PYR002,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000011,2000000011,"NPI Match","No blocker",2026-04-10,2026-04-21,Ready,No,Ready,Ready
ENR011003,PRV011,PYR003,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000011,2000000011,"NPI Match","No blocker",2026-04-21,2026-05-03,Ready,No,Ready,Ready
ENR011004,PRV011,PYR004,ERA,Completed,"Not Required",Approved,No,Pending,2000000011,2000000011,"NPI Match","Clearinghouse portal not updated",2026-05-02,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR011005,PRV011,PYR005,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000011,2000000011,"NPI Match","No blocker",2026-05-13,2026-05-27,Ready,No,Ready,Ready
ENR011006,PRV011,PYR006,"Claims and ERA","In Progress","Not Started","Not Started",No,"Not Started",2000000011,2000000011,"NPI Match","Credentialing not completed",2026-05-24,NULL,Pending,Yes,"Not Ready","Not Ready"
ENR011007,PRV011,PYR007,Claims,Completed,Rejected,"Not Required",Yes,"Issue Found",2000000011,2000000011,"NPI Match","Wrong payer ID",2026-01-05,NULL,Blocked,Yes,"Not Ready","Not Applicable"
ENR011008,PRV011,PYR008,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000011,2000000011,"NPI Match","No blocker",2026-01-16,2026-02-02,Ready,No,Ready,Ready
ENR011009,PRV011,PYR009,ERA,Completed,"Not Required",Approved,No,Pending,2000000011,2000000011,"NPI Match","Clearinghouse portal not updated",2026-01-27,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR011010,PRV011,PYR010,Claims,Completed,Approved,"Not Required",Yes,Completed,2000000011,2000000011,"NPI Match","No blocker",2026-02-07,2026-02-16,Ready,No,Ready,"Not Applicable"
ENR012001,PRV012,PYR001,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000012,2000000012,"NPI Match","No blocker",2026-04-06,2026-04-17,Ready,No,Ready,Ready
ENR012002,PRV012,PYR002,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000012,2000000012,"NPI Match","No blocker",2026-04-17,2026-04-29,Ready,No,Ready,Ready
ENR012003,PRV012,PYR003,ERA,Completed,"Not Required",Approved,No,Pending,2000000012,2000000012,"NPI Match","Clearinghouse portal not updated",2026-04-28,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR012004,PRV012,PYR004,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000012,2000000012,"NPI Match","No blocker",2026-05-09,2026-05-23,Ready,No,Ready,Ready
ENR012005,PRV012,PYR005,"Claims and ERA","In Progress","Not Started","Not Started",No,"Not Started",2000000012,2000000012,"NPI Match","Credentialing not completed",2026-05-20,NULL,Pending,Yes,"Not Ready","Not Ready"
ENR012006,PRV012,PYR006,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000012,2000000012,"NPI Match","Missing payer approval",2026-01-01,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR012007,PRV012,PYR007,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000012,2000000012,"NPI Match","Wrong payer ID",2026-01-12,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR012008,PRV012,PYR008,ERA,Completed,"Not Required",Approved,No,Pending,2000000012,2000000012,"NPI Match","Clearinghouse portal not updated",2026-01-23,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR012009,PRV012,PYR009,Claims,Completed,Approved,"Not Required",Yes,Completed,2000000012,2000000012,"NPI Match","No blocker",2026-02-03,2026-02-12,Ready,No,Ready,"Not Applicable"
ENR012010,PRV012,PYR010,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000012,1000000012,"NPI Mismatch","Individual NPI used instead of group NPI",2026-02-14,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR013001,PRV013,PYR001,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000013,2000000013,"NPI Match","No blocker",2026-04-13,2026-04-25,Ready,No,Ready,Ready
ENR013002,PRV013,PYR002,ERA,Completed,"Not Required",Approved,No,Pending,2000000013,2000000013,"NPI Match","Clearinghouse portal not updated",2026-04-24,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR013003,PRV013,PYR003,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000013,2000000013,"NPI Match","No blocker",2026-05-05,2026-05-19,Ready,No,Ready,Ready
ENR013004,PRV013,PYR004,"Claims and ERA","In Progress","Not Started","Not Started",No,"Not Started",2000000013,2000000013,"NPI Match","Credentialing not completed",2026-05-16,NULL,Pending,Yes,"Not Ready","Not Ready"
ENR013005,PRV013,PYR005,Claims,Completed,Pending,"Not Required",Yes,"In Progress",2000000013,2000000013,"NPI Match","Missing payer approval",2026-05-27,NULL,Pending,Yes,"Not Ready","Not Applicable"
ENR013006,PRV013,PYR006,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000013,2000000013,"NPI Match","No blocker",2026-01-08,2026-01-25,Ready,No,Ready,Ready
ENR013007,PRV013,PYR007,ERA,Completed,"Not Required",Approved,No,Pending,2000000013,2000000013,"NPI Match","Clearinghouse portal not updated",2026-01-19,NULL,Pending,Yes,"Not Applicable","Not Ready"
ENR013008,PRV013,PYR008,Claims,Completed,Approved,"Not Required",Yes,Completed,2000000013,2000000013,"NPI Match","No blocker",2026-01-30,2026-02-08,Ready,No,Ready,"Not Applicable"
ENR013009,PRV013,PYR009,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000013,1000000013,"NPI Mismatch","Individual NPI used instead of group NPI",2026-02-10,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR013010,PRV013,PYR010,"Claims and ERA",Completed,Approved,Approved,Yes,Completed,2000000013,2000000013,"NPI Match","No blocker",2026-02-21,2026-03-04,Ready,No,Ready,Ready
ENR014001,PRV014,PYR001,ERA,Completed,"Not Required",Rejected,Yes,"Issue Found",2000000014,2000000014,"NPI Match","Medicare additional enrollment missing",2026-04-20,NULL,Blocked,Yes,"Not Applicable","Not Ready"
ENR014002,PRV014,PYR002,"Claims and ERA",Completed,Rejected,Rejected,Yes,"Issue Found",2000000014,2000000014,"NPI Match","Wrong payer ID",2026-05-01,NULL,Blocked,Yes,"Not Ready","Not Ready"
ENR014003,PRV014,PYR003,"Claims and ERA","In Progress","Not Started","Not Started",No,"Not Started",2000000014,2000000014,"NPI Match","Credentialing not completed",2026-05-12,NULL,Pending,Yes,"Not Ready","Not Ready"
